step,run_id,timestamp,name,num_citizens,num_corporate_media,num_influencers,num_government,network_type,steps,simulationName,truth_seeking_mean,truth_seeking_std,confirmation_bias_min,confirmation_bias_max,critical_thinking_min,critical_thinking_max,social_conformity_min,social_conformity_max,initial_trust_in_corporate,initial_trust_in_influencers,initial_trust_in_government,corporate_bias_min,corporate_bias_max,truth_commitment_corporate,corporate_publication_rate,corporate_influence_reach,influencer_bias_min,influencer_bias_max,truth_commitment_influencer,influencer_publication_rate,influencer_influence_reach,government_bias,truth_commitment_government,government_publication_rate,government_influence_reach,small_world_k,small_world_p,scale_free_m,random_p,avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
29,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.289973895842162,0.44131595114767186,0.7336818095116322,0.8065025355482001,1.342377911056946
30,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.289973895842162,0.4413534192733954,0.7336818095116322,0.8065025355482001,1.342377911056946
31,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.289973895842162,0.4413904378850196,0.7336818095116322,0.8065025355482001,1.342377911056946
32,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.289973895842162,0.4414268622424701,0.7336818095116322,0.8065025355482001,1.342377911056946
33,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.289973895842162,0.4414625710880433,0.7336818095116322,0.8065025355482001,1.342377911056946
34,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.289973895842162,0.4414974639851922,0.7336818095116322,0.8065025355482001,1.342377911056946
35,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2673669173140754,0.44084081150477666,0.7336818095116322,0.8065025355482001,1.3156573365573856
36,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2673669173140754,0.44087277271808434,0.7336818095116322,0.8065025355482001,1.3156573365573856
37,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2673669173140754,0.44090349709878623,0.7336818095116322,0.8065025355482001,1.3156573365573856
38,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2673669173140754,0.4409329976148017,0.7336818095116322,0.8065025355482001,1.3156573365573856
39,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2673669173140754,0.44096128988519795,0.7336818095116322,0.8065025355482001,1.3156573365573856
40,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2673669173140754,0.4409883916483052,0.7336818095116322,0.8065025355482001,1.3156573365573856
41,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2673669173140754,0.44101432236581184,0.7336818095116322,0.8065025355482001,1.3156573365573856
42,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2673669173140754,0.44103910291997617,0.7336818095116322,0.8065025355482001,1.3156573365573856
43,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2673669173140754,0.4410627553741312,0.7336818095116322,0.8065025355482001,1.3156573365573856
44,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2673669173140754,0.4410853027760496,0.7336818095116322,0.8065025355482001,1.3156573365573856
45,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2673669173140754,0.4411067689904435,0.7336818095116322,0.8065025355482001,1.3156573365573856
46,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2673669173140754,0.4411271785515964,0.7336818095116322,0.8065025355482001,1.3156573365573856
47,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2673669173140754,0.4411465565304001,0.7336818095116322,0.8065025355482001,1.3156573365573856
48,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4406140942333144,0.7336818095116322,0.8065025355482001,1.2855352581890236
49,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.44065359512027974,0.7336818095116322,0.8065025355482001,1.2855352581890236
50,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4406902100207725,0.7336818095116322,0.8065025355482001,1.2855352581890236
51,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.44072413686035355,0.7336818095116322,0.8065025355482001,1.2855352581890236
52,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4407555572336448,0.7336818095116322,0.8065025355482001,1.2855352581890236
53,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4407846381785322,0.7336818095116322,0.8065025355482001,1.2855352581890236
54,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4408115336700129,0.7336818095116322,0.8065025355482001,1.2855352581890236
55,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4408363858921858,0.7336818095116322,0.8065025355482001,1.2855352581890236
56,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4408593263334001,0.7336818095116322,0.8065025355482001,1.2855352581890236
57,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4408804767392212,0.7336818095116322,0.8065025355482001,1.2855352581890236
58,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4408999499499404,0.7336818095116322,0.8065025355482001,1.2855352581890236
59,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4409178506432736,0.7336818095116322,0.8065025355482001,1.2855352581890236
60,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.44093427599826657,0.7336818095116322,0.8065025355482001,1.2855352581890236
61,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4409493162928766,0.7336818095116322,0.8065025355482001,1.2855352581890236
62,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.44096305544501346,0.7336818095116322,0.8065025355482001,1.2855352581890236
63,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4409755715047644,0.7336818095116322,0.8065025355482001,1.2855352581890236
64,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.440986937103972,0.7336818095116322,0.8065025355482001,1.2855352581890236
65,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.44099721986814333,0.7336818095116322,0.8065025355482001,1.2855352581890236
66,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4410064827947647,0.7336818095116322,0.8065025355482001,1.2855352581890236
67,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.4410147846014008,0.7336818095116322,0.8065025355482001,1.2855352581890236
68,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.44102218004642785,0.7336818095116322,0.8065025355482001,1.2855352581890236
69,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.2484395178635275,0.441028720224837,0.7336818095116322,0.8065025355482001,1.2855352581890236
