step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="workit",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
23,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.812445136312648,0.46451027220833013,4.966548132781543e-05,0.04431479511880562,0.027790937800649708
24,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.812445136312648,0.4644175777144619,4.966548132781543e-05,0.04431479511880562,0.027790937800649708
25,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.806292594654714,0.4641103897299802,4.966548132781543e-05,0.04431479511880562,0.0273640782376416
26,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.806292594654714,0.4640413249792668,4.966548132781543e-05,0.04431479511880562,0.0273640782376416
27,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.8035814818621585,0.46378494635433354,4.966548132781543e-05,0.04431479511880562,0.02704141611317484
28,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.8035814818621585,0.4637202832171591,4.966548132781543e-05,0.04431479511880562,0.02704141611317484
29,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.8035814818621585,0.4636625451068834,4.966548132781543e-05,0.04431479511880562,0.02704141611317484
30,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.8035814818621585,0.46361097457946115,4.966548132781543e-05,0.04431479511880562,0.02704141611317484
31,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.8035814818621585,0.4635649019430628,4.966548132781543e-05,0.04431479511880562,0.02704141611317484
32,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.8035814818621585,0.4635237345480608,4.966548132781543e-05,0.04431479511880562,0.02704141611317484
