step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="low-trust-med-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="1",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
21,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49720749610818904,0.6002889382202294,0.009772307686655829,0.009687139862235097
22,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4967044020174992,0.6002889382202294,0.009772307686655829,0.009687139862235097
23,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4962241795885497,0.6002889382202294,0.009772307686655829,0.009687139862235097
24,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49576566131805244,0.6002889382202294,0.009772307686655829,0.009687139862235097
25,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49532774314317246,0.6002889382202294,0.009772307686655829,0.009687139862235097
26,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4949093797833602,0.6002889382202294,0.009772307686655829,0.009687139862235097
27,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49450958070151185,0.6002889382202294,0.009772307686655829,0.009687139862235097
28,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4941274065716501,0.6002889382202294,0.009772307686655829,0.009687139862235097
29,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4937619661609399,0.6002889382202294,0.009772307686655829,0.009687139862235097
30,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49341241355099114,0.6002889382202294,0.009772307686655829,0.009687139862235097
31,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4930779456375825,0.6002889382202294,0.009772307686655829,0.009687139862235097
32,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4927577998596498,0.6002889382202294,0.009772307686655829,0.009687139862235097
33,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4924512521179928,0.6002889382202294,0.009772307686655829,0.009687139862235097
34,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4921576148520227,0.6002889382202294,0.009772307686655829,0.009687139862235097
35,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49187623524927715,0.6002889382202294,0.009772307686655829,0.009687139862235097
36,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.49160649356762354,0.6002889382202294,0.009772307686655829,0.009687139862235097
37,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4913478015542626,0.6002889382202294,0.009772307686655829,0.009687139862235097
38,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.0685834790018074,4.891085752088248,0.4910996009490009,0.6002889382202294,0.009772307686655829,0.009687139862235097
39,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.4909467042913769,0.6002889382202294,0.009909678253182974,0.009687139862235097
40,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.4907219988077049,0.6002889382202294,0.009909678253182974,0.009687139862235097
41,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.4905055125318424,0.6002889382202294,0.009909678253182974,0.009687139862235097
42,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.49029691957972565,0.6002889382202294,0.009909678253182974,0.009687139862235097
43,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.49009589789647473,0.6002889382202294,0.009909678253182974,0.009687139862235097
44,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.48990213114518205,0.6002889382202294,0.009909678253182974,0.009687139862235097
45,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.4897153101766585,0.6002889382202294,0.009909678253182974,0.009687139862235097
46,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.4895351341501245,0.6002889382202294,0.009909678253182974,0.009687139862235097
47,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.48936131136400024,0.6002889382202294,0.009909678253182974,0.009687139862235097
48,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.48919355984673585,0.6002889382202294,0.009909678253182974,0.009687139862235097
49,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.4890316077498287,0.6002889382202294,0.009909678253182974,0.009687139862235097
