step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-low-accuracy-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
32,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.923122615212459,4.1413649503725045,0.47931936887364723,0.45253994900033556,1.87450783379563,0.4358511250543367
33,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.893999927436633,4.1413649503725045,0.4787496582689469,0.45253994900033556,1.8957496694811358,0.4358511250543367
34,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.893999927436633,4.1413649503725045,0.47877081899419166,0.45253994900033556,1.8957496694811358,0.4358511250543367
35,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.47834101415631936,0.45253994900033556,1.9187367249813752,0.4358511250543367
36,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.47835027239843336,0.45253994900033556,1.9187367249813752,0.4358511250543367
37,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.47835873746119795,0.45253994900033556,1.9187367249813752,0.4358511250543367
38,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.4783664292973384,0.45253994900033556,1.9187367249813752,0.4358511250543367
39,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.47837338866522955,0.45253994900033556,1.9187367249813752,0.4358511250543367
40,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.4783796684761637,0.45253994900033556,1.9187367249813752,0.4358511250543367
41,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.47838532771416714,0.45253994900033556,1.9187367249813752,0.4358511250543367
42,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.47839042724749303,0.45253994900033556,1.9187367249813752,0.4358511250543367
43,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.4783950270215342,0.45253994900033556,1.9187367249813752,0.4358511250543367
44,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.47839918425199707,0.45253994900033556,1.9187367249813752,0.4358511250543367
45,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.4784029523346899,0.45253994900033556,1.9187367249813752,0.4358511250543367
46,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.47840638026179094,0.45253994900033556,1.9187367249813752,0.4358511250543367
47,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.47840951238975704,0.45253994900033556,1.9187367249813752,0.4358511250543367
48,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.4784123884455101,0.45253994900033556,1.9187367249813752,0.4358511250543367
49,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.4784150436885627,0.45253994900033556,1.9187367249813752,0.4358511250543367
50,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.478417509169857,0.45253994900033556,1.9187367249813752,0.4358511250543367
51,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.47841981204524603,0.45253994900033556,1.9187367249813752,0.4358511250543367
52,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.47842197591420865,0.45253994900033556,1.9187367249813752,0.4358511250543367
53,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.47842402116368143,0.45253994900033556,1.9187367249813752,0.4358511250543367
54,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.863933772235697,4.1413649503725045,0.4784259653036579,0.45253994900033556,1.9187367249813752,0.4358511250543367
