step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-med-accuracy-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
46,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4708115360307681,0.0024648608014583586,0.0383304190862143,0.6613026113928641
47,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.47069649902011723,0.0024648608014583586,0.0383304190862143,0.6613026113928641
48,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.47058377415766295,0.0024648608014583586,0.0383304190862143,0.6613026113928641
49,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.47047335367314375,0.0024648608014583586,0.0383304190862143,0.6613026113928641
50,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4703652263882531,0.0024648608014583586,0.0383304190862143,0.6613026113928641
51,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.470259378055723,0.0024648608014583586,0.0383304190862143,0.6613026113928641
52,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4701557916685808,0.0024648608014583586,0.0383304190862143,0.6613026113928641
53,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4700544477430024,0.0024648608014583586,0.0383304190862143,0.6613026113928641
54,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4699553245776271,0.0024648608014583586,0.0383304190862143,0.6613026113928641
55,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.46985839849174726,0.0024648608014583586,0.0383304190862143,0.6613026113928641
56,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4697636440444222,0.0024648608014583586,0.0383304190862143,0.6613026113928641
57,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4696710342362731,0.0024648608014583586,0.0383304190862143,0.6613026113928641
58,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.46958054069547295,0.0024648608014583586,0.0383304190862143,0.6613026113928641
59,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.469492133849258,0.0024648608014583586,0.0383304190862143,0.6613026113928641
60,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4694057830821203,0.0024648608014583586,0.0383304190862143,0.6613026113928641
61,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.46932145688171495,0.0024648608014583586,0.0383304190862143,0.6613026113928641
