step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-high-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="10",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
45,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.738781915311323,6.088735204155483,4.473541704364187,0.4593708513496287,0.5659857157252886,1.2809374407549683,0.3527808352987214
46,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.738781915311323,6.088735204155483,4.473541704364187,0.4593006225260601,0.5659857157252886,1.2809374407549683,0.3527808352987214
47,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.738781915311323,6.088735204155483,4.473541704364187,0.45923524810727206,0.5659857157252886,1.2809374407549683,0.3527808352987214
48,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.738781915311323,6.088735204155483,4.473541704364187,0.4591744224144033,0.5659857157252886,1.2809374407549683,0.3527808352987214
49,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.738781915311323,6.088735204155483,4.473541704364187,0.45911786159995005,0.5659857157252886,1.2809374407549683,0.3527808352987214
50,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.738781915311323,6.088735204155483,4.473541704364187,0.4590653019076422,0.5659857157252886,1.2809374407549683,0.3527808352987214
51,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.751873169484864,6.088735204155483,4.473541704364187,0.4593076879575072,0.5636092647087659,1.2809374407549683,0.3527808352987214
52,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.751873169484864,6.088735204155483,4.473541704364187,0.4592670599908125,0.5636092647087659,1.2809374407549683,0.3527808352987214
53,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.751873169484864,6.088735204155483,4.473541704364187,0.4592292208337605,0.5636092647087659,1.2809374407549683,0.3527808352987214
54,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.751873169484864,6.088735204155483,4.473541704364187,0.4591940846724728,0.5636092647087659,1.2809374407549683,0.3527808352987214
