step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-low-accuracy-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
21,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.44005510283138327,0.3089107974148124,2.626521227196145,0.011456445722665904
22,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.43985100334763727,0.3089107974148124,2.626521227196145,0.011456445722665904
23,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.43965965346491964,0.3089107974148124,2.626521227196145,0.011456445722665904
24,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.43947978942405547,0.3089107974148124,2.626521227196145,0.011456445722665904
25,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.4393103014822317,0.3089107974148124,2.626521227196145,0.011456445722665904
26,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.43915021255816994,0.3089107974148124,2.626521227196145,0.011456445722665904
27,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.43899866017422196,0.3089107974148124,2.626521227196145,0.011456445722665904
28,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.4388548811426577,0.3089107974148124,2.626521227196145,0.011456445722665904
29,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.438718198541251,0.3089107974148124,2.626521227196145,0.011456445722665904
30,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.438588010603219,0.3089107974148124,2.626521227196145,0.011456445722665904
31,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.4384637812119578,0.3089107974148124,2.626521227196145,0.011456445722665904
32,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.4383450317445712,0.3089107974148124,2.626521227196145,0.011456445722665904
33,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.4382313340520726,0.3089107974148124,2.626521227196145,0.011456445722665904
34,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.4381223044001619,0.3089107974148124,2.626521227196145,0.011456445722665904
35,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.4380175982240756,0.3089107974148124,2.626521227196145,0.011456445722665904
36,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.4379169055753552,0.3089107974148124,2.626521227196145,0.011456445722665904
37,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.4378199471584513,0.3089107974148124,2.626521227196145,0.011456445722665904
38,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.43772647087163663,0.3089107974148124,2.626521227196145,0.011456445722665904
39,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.4376362487803915,0.3089107974148124,2.626521227196145,0.011456445722665904
40,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.5280325611541503,4.8514464987930825,0.4368339535470649,0.3089107974148124,2.6405319665133336,0.011456445722665904
41,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.5280325611541503,4.8514464987930825,0.4367662101659867,0.3089107974148124,2.6405319665133336,0.011456445722665904
42,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.5280325611541503,4.8514464987930825,0.4366999714092418,0.3089107974148124,2.6405319665133336,0.011456445722665904
43,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.5280325611541503,4.8514464987930825,0.43663507068392926,0.3089107974148124,2.6405319665133336,0.011456445722665904
44,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.5280325611541503,4.8514464987930825,0.4365713769447598,0.3089107974148124,2.6405319665133336,0.011456445722665904
45,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.5280325611541503,4.8514464987930825,0.43650878798665,0.3089107974148124,2.6405319665133336,0.011456445722665904
46,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.5280325611541503,4.8514464987930825,0.43644722488834925,0.3089107974148124,2.6405319665133336,0.011456445722665904
47,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.5280325611541503,4.8514464987930825,0.4363866274195674,0.3089107974148124,2.6405319665133336,0.011456445722665904
48,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.5280325611541503,4.8514464987930825,0.4363269502536212,0.3089107974148124,2.6405319665133336,0.011456445722665904
49,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.5280325611541503,4.8514464987930825,0.43626815985262996,0.3089107974148124,2.6405319665133336,0.011456445722665904
50,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.5280325611541503,4.8514464987930825,0.43621023191347097,0.3089107974148124,2.6405319665133336,0.011456445722665904
