step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="this1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
36,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5120884651601479,0.35389712641436427,0.01363376126030381,0.3888813881491322
37,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5122437289000316,0.35389712641436427,0.01363376126030381,0.3888813881491322
38,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.51238982192615,0.35389712641436427,0.01363376126030381,0.3888813881491322
39,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5125277507962666,0.35389712641436427,0.01363376126030381,0.3888813881491322
40,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5126583685380238,0.35389712641436427,0.01363376126030381,0.3888813881491322
41,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5127824008274077,0.35389712641436427,0.01363376126030381,0.3888813881491322
42,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.512900467569361,0.35389712641436427,0.01363376126030381,0.3888813881491322
43,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5130131006947904,0.35389712641436427,0.01363376126030381,0.3888813881491322
44,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5131207588433854,0.35389712641436427,0.01363376126030381,0.3888813881491322
45,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.272177592639864,0.5129093733021576,0.35389712641436427,0.01363376126030381,0.3843346642451157
46,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.5126185532151952,0.35389712641436427,0.01363376126030381,0.3817222867632465
47,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.5126726874530122,0.35389712641436427,0.01363376126030381,0.3817222867632465
48,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.512732040768564,0.35389712641436427,0.01363376126030381,0.3817222867632465
49,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.5127951091472568,0.35389712641436427,0.01363376126030381,0.3817222867632465
50,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.5128606905473204,0.35389712641436427,0.01363376126030381,0.3817222867632465
51,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.51292782809316,0.35389712641436427,0.01363376126030381,0.3817222867632465
52,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.5129957637945036,0.35389712641436427,0.01363376126030381,0.3817222867632465
53,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.5130639008441842,0.35389712641436427,0.01363376126030381,0.3817222867632465
54,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.5131317729086389,0.35389712641436427,0.01363376126030381,0.3817222867632465
55,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.5131990191191249,0.35389712641436427,0.01363376126030381,0.3817222867632465
56,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.5132653637108444,0.35389712641436427,0.01363376126030381,0.3817222867632465
57,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.246089708047644,0.512986592382984,0.35389712641436427,0.01363376126030381,0.3797457557948207
58,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.246089708047644,0.5130648844306287,0.35389712641436427,0.01363376126030381,0.3797457557948207
59,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.246089708047644,0.5131397006251324,0.35389712641436427,0.01363376126030381,0.3797457557948207
60,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.246089708047644,0.5132112772704511,0.35389712641436427,0.01363376126030381,0.3797457557948207
61,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.246089708047644,0.5132798345350297,0.35389712641436427,0.01363376126030381,0.3797457557948207
62,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.246089708047644,0.513345576655825,0.35389712641436427,0.01363376126030381,0.3797457557948207
63,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.097880089621132,4.246089708047644,0.5133170040025697,0.35389712641436427,0.013638910783625186,0.3797457557948207
64,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.097880089621132,4.246089708047644,0.5133832466538941,0.35389712641436427,0.013638910783625186,0.3797457557948207
65,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.097880089621132,4.246089708047644,0.5134464104075595,0.35389712641436427,0.013638910783625186,0.3797457557948207
66,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.097880089621132,4.246089708047644,0.5135067639407448,0.35389712641436427,0.013638910783625186,0.3797457557948207
67,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.097880089621132,4.246089708047644,0.5135645445286794,0.35389712641436427,0.013638910783625186,0.3797457557948207
68,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.097880089621132,4.246089708047644,0.5136199621848365,0.35389712641436427,0.013638910783625186,0.3797457557948207
69,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.097880089621132,4.246089708047644,0.5136732032337543,0.35389712641436427,0.013638910783625186,0.3797457557948207
70,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.097880089621132,4.246089708047644,0.5137244333942648,0.35389712641436427,0.013638910783625186,0.3797457557948207
71,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.097880089621132,4.246089708047644,0.5137738004404953,0.35389712641436427,0.013638910783625186,0.3797457557948207
