step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-low-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="1",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
22,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.998208100940726,4.473177017341804,0.47670323553334926,0.43864212597084884,1.9155996037658025,0.28825545504583383
23,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.998208100940726,4.473177017341804,0.47640177465224154,0.43864212597084884,1.9155996037658025,0.28825545504583383
24,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.998208100940726,4.473177017341804,0.4761030230863142,0.43864212597084884,1.9155996037658025,0.28825545504583383
25,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.975128616848968,4.473177017341804,0.47524965587926316,0.43864212597084884,1.922091519378853,0.28825545504583383
26,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.975128616848968,4.473177017341804,0.47491495111654325,0.43864212597084884,1.922091519378853,0.28825545504583383
27,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.975128616848968,4.473177017341804,0.47459510097542534,0.43864212597084884,1.922091519378853,0.28825545504583383
28,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.975128616848968,4.473177017341804,0.4742893509040114,0.43864212597084884,1.922091519378853,0.28825545504583383
29,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.975128616848968,4.473177017341804,0.4739969892646077,0.43864212597084884,1.922091519378853,0.28825545504583383
30,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.9499271837221683,4.473177017341804,0.47331469394075393,0.43864212597084884,1.9333111750595589,0.28825545504583383
31,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.927756198575314,4.473177017341804,0.47258132876127673,0.43864212597084884,1.9354125830897582,0.28825545504583383
32,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.473177017341804,0.47176046390473353,0.43864212597084884,1.953798752581894,0.28825545504583383
33,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.473177017341804,0.4716241932476898,0.43864212597084884,1.953798752581894,0.28825545504583383
34,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.473177017341804,0.4714778694991278,0.43864212597084884,1.953798752581894,0.28825545504583383
35,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.473177017341804,0.47132453572831673,0.43864212597084884,1.953798752581894,0.28825545504583383
36,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.473177017341804,0.47116662410943333,0.43864212597084884,1.953798752581894,0.28825545504583383
