step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-high-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="5",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
22,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4441121028848485,0.018778401844352956,2.3424882172759083,0.6168413652881912
23,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4439241501490411,0.018778401844352956,2.3424882172759083,0.6168413652881912
24,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4437467686308792,0.018778401844352956,2.3424882172759083,0.6168413652881912
25,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4435796042700988,0.018778401844352956,2.3424882172759083,0.6168413652881912
26,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44342225585028217,0.018778401844352956,2.3424882172759083,0.6168413652881912
27,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44327429187167594,0.018778401844352956,2.3424882172759083,0.6168413652881912
28,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44313526374788803,0.018778401844352956,2.3424882172759083,0.6168413652881912
29,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4430047160324878,0.018778401844352956,2.3424882172759083,0.6168413652881912
30,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4428821942525383,0.018778401844352956,2.3424882172759083,0.6168413652881912
31,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44276725082011475,0.018778401844352956,2.3424882172759083,0.6168413652881912
32,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44265944940586727,0.018778401844352956,2.3424882172759083,0.6168413652881912
33,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44255836808730714,0.018778401844352956,2.3424882172759083,0.6168413652881912
34,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4424636015259519,0.018778401844352956,2.3424882172759083,0.6168413652881912
35,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.442374762379511,0.018778401844352956,2.3424882172759083,0.6168413652881912
