step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="random",steps="75",simulationName="random-med-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
36,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4930201909356798,0.012772467348891791,2.248548792336014,0.002628088898597181
37,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49306132466405644,0.012772467348891791,2.248548792336014,0.002628088898597181
38,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49309737421412914,0.012772467348891791,2.248548792336014,0.002628088898597181
39,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.493128809424946,0.012772467348891791,2.248548792336014,0.002628088898597181
40,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4931560585871578,0.012772467348891791,2.248548792336014,0.002628088898597181
41,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4931795122919814,0.012772467348891791,2.248548792336014,0.002628088898597181
42,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4931995268866799,0.012772467348891791,2.248548792336014,0.002628088898597181
43,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932164275818156,0.012772467348891791,2.248548792336014,0.002628088898597181
44,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932305112497712,0.012772467348891791,2.248548792336014,0.002628088898597181
45,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932420489490507,0.012772467348891791,2.248548792336014,0.002628088898597181
